WormBase.ID	Public.Gene.Name	Sequence.ID	Affy.Probe.Set.ID
WBGene00008781	rpoa-2	F14B4.3	191795_s_at
WBGene00008782	sdz-14	F14B6.1	173489_at
WBGene00008782	sdz-14	F14B6.1	178706_s_at
WBGene00008783	F14B6.2	F14B6.2	178631_s_at
WBGene00008784	F14B6.3	F14B6.3	178748_at
WBGene00008785	F14B6.4	F14B6.4	178596_at
WBGene00008786	oac-16	F14B6.5	178860_at
WBGene00008787	F14B6.6	F14B6.6a	178977_at
WBGene00008787	F14B6.6	F14B6.6a	178978_s_at
WBGene00003732	nhx-4	F14B8.1a	190339_at
WBGene00017445	sid-5	F14B8.2	181117_at
WBGene00003987	pes-23	F14B8.3	180610_at
WBGene00017446	F14B8.4	F14B8.4	180990_at
WBGene00017447	F14B8.5	F14B8.5a	173210_s_at
WBGene00017448	F14B8.6	F14B8.6	180944_s_at
WBGene00017449	otpl-3	F14B8.7	187767_at
WBGene00017463	F14D12.1	F14D12.1a	175027_at
WBGene00017463	F14D12.1	F14D12.1a	185659_at
WBGene00006826	unc-97	F14D12.2	175680_at
WBGene00006826	unc-97	F14D12.2	193526_s_at
WBGene00003166	mec-2	F14D12.4a	175614_at
WBGene00003166	mec-2	F14D12.4a	188555_s_at
WBGene00017464	sulp-2	F14D12.5	190178_s_at
WBGene00006411	octr-1	F14D12.6a	191537_at
WBGene00017450	bath-27	F14D2.1	181364_s_at
NA	NA	F14D2.10	172522_x_at
WBGene00017459	F14D2.11	F14D2.11	185180_at
WBGene00017460	bath-30	F14D2.12	181301_at
WBGene00017460	bath-30	F14D2.12	181302_s_at
WBGene00017460	bath-30	F14D2.12	181360_s_at
WBGene00077751	irld-27	F14D2.17	181118_at
WBGene00206522	F14D2.19	F14D2.19	180618_at
WBGene00017451	F14D2.2	F14D2.2	180325_at
WBGene00017452	bath-29	F14D2.4a	181359_at
WBGene00017453	F14D2.5	F14D2.5	181341_at
NA	NA	F14D2.9	180589_at
WBGene00008788	F14D7.1	F14D7.1	178661_at
WBGene00008789	F14D7.2	F14D7.2	179062_s_at
WBGene00008790	F14D7.3	F14D7.3	178812_at
NA	NA	F14D7.4	178644_at
WBGene00008792	F14D7.5	F14D7.5a	179256_at
WBGene00008793	F14D7.6	F14D7.6a	192255_at
WBGene00008794	F14D7.7	F14D7.7	178799_at
WBGene00008795	F14D7.8	F14D7.8	178584_at
WBGene00008799	F14E5.1	F14E5.1	189747_at
WBGene00008800	F14E5.2	F14E5.2a	173934_at
WBGene00008800	F14E5.2	F14E5.2a	193575_s_at
WBGene00008801	acp-3	F14E5.3	193026_at
WBGene00008802	acp-2	F14E5.4	189438_s_at
WBGene00008803	lips-10	F14E5.5	174404_s_at
WBGene00008803	lips-10	F14E5.5	177829_at
WBGene00008819	shw-1	F14F11.1a	189673_at
WBGene00008820	F14F11.2	F14F11.2	182420_at
WBGene00006870	vab-3	F14F3.1a	175692_s_at
WBGene00006870	vab-3	F14F3.1a	194012_s_at
WBGene00008805	git-1	F14F3.2	188879_s_at
WBGene00008806	mboa-7	F14F3.3	178022_s_at
WBGene00008808	ntr-2	F14F4.1	193347_at
WBGene00003411	mrp-5	F14F4.3a	174713_at
WBGene00003411	mrp-5	F14F4.3a	189403_s_at
WBGene00000673	col-98	F14F7.1	188356_at
WBGene00008809	cyp-13A11	F14F7.2	189219_s_at
WBGene00008811	F14F7.4	F14F7.4	177906_s_at
WBGene00008811	F14F7.4	F14F7.4	187963_at
WBGene00008812	F14F7.5	F14F7.5	178485_at
WBGene00006125	str-61	F14F8.1	178394_at
NA	NA	F14F8.2	178285_at
WBGene00008814	srz-1	F14F8.3	178370_at
WBGene00008815	srz-103	F14F8.4	179168_at
WBGene00005790	srw-43	F14F8.5	179326_at
WBGene00005791	srw-44	F14F8.6	178196_at
WBGene00005783	srw-36	F14F8.7	178551_at
WBGene00008816	F14F8.8	F14F8.8	179137_at
WBGene00008817	F14F8.9	F14F8.9	179586_at
WBGene00005347	srh-130	F14F9.1	191457_at
WBGene00017465	F14F9.2	F14F9.2	182396_at
WBGene00017466	F14F9.3	F14F9.3	181773_at
WBGene00017467	F14F9.4	F14F9.4	180193_at
WBGene00017468	F14F9.5	F14F9.5	180143_at
WBGene00017469	F14F9.6	F14F9.6	182528_at
WBGene00005346	srh-129	F14F9.7	191420_at
WBGene00000738	col-165	F14H12.1	188430_at
WBGene00219368	F14H12.17	F14H12.17	176808_at
WBGene00017470	F14H12.2	F14H12.2	176789_at
WBGene00017471	F14H12.3	F14H12.3	176786_at
WBGene00017471	F14H12.3	F14H12.3	176787_s_at
WBGene00017472	cst-1	F14H12.4a	172039_x_at
WBGene00017472	cst-1	F14H12.4a	172144_x_at
WBGene00017473	F14H12.6	F14H12.6	174213_s_at
WBGene00017474	F14H12.7	F14H12.7	176770_at
WBGene00005598	srj-10	F14H3.1	188868_at
WBGene00008829	cyp-35D1	F14H3.10	189405_at
WBGene00008830	nhr-176	F14H3.11	192525_at
WBGene00008831	F14H3.12	F14H3.12	180211_at
WBGene00008821	best-12	F14H3.2	191658_at
WBGene00008822	F14H3.3	F14H3.3	179385_s_at
WBGene00008823	F14H3.4	F14H3.4	178495_at
WBGene00008824	F14H3.5	F14H3.5	178122_at
WBGene00008825	F14H3.6	F14H3.6	178625_s_at
WBGene00008826	fbxa-100	F14H3.7	178329_at
NA	NA	F14H3.8	179314_at
WBGene00008828	F14H3.9	F14H3.9	179447_at
WBGene00008832	obr-2	F14H8.1a	190931_s_at
WBGene00008833	F14H8.2	F14H8.2	178694_at
WBGene00008834	F14H8.4	F14H8.4	178557_at
WBGene00008835	F14H8.5	F14H8.5	179007_at
WBGene00000562	cng-1	F14H8.6b	173777_s_at
WBGene00000757	col-184	F15A2.1a	188245_at
WBGene00006610	tre-4	F15A2.2	189832_at
WBGene00005129	srd-51	F15A2.3	179109_at
WBGene00005128	srd-50	F15A2.4	178916_at
WBGene00001164	efn-3	F15A2.5	178940_at
WBGene00004719	sad-1	F15A2.6a	174639_at
WBGene00004719	sad-1	F15A2.6a	193978_at
NA	NA	F15A2.7	179091_at
WBGene00008837	sre-38	F15A4.1	177441_at
WBGene00008844	F15A4.10	F15A4.10	184104_at
WBGene00044323	tag-281	F15A4.11	183139_at
WBGene00044322	tag-280	F15A4.12	183715_at
WBGene00008847	fbxb-102	F15A4.13	183094_at
WBGene00008838	F15A4.2	F15A4.2	177417_at
WBGene00008839	sre-37	F15A4.3	177474_at
WBGene00005173	srg-16	F15A4.4	188750_at
WBGene00008840	F15A4.5	F15A4.5	188785_s_at
WBGene00008841	F15A4.6	F15A4.6	192485_at
WBGene00005174	srg-17	F15A4.7	188779_at
WBGene00008842	chil-28	F15A4.8a	188413_s_at
WBGene00008843	arrd-9	F15A4.9	177465_at
WBGene00017476	F15A8.1	F15A8.1	172372_at
WBGene00017477	F15A8.4	F15A8.4	182127_at
WBGene00001052	dop-1	F15A8.5a	173853_at
WBGene00001052	dop-1	F15A8.5a	173854_s_at
WBGene00017478	F15A8.6	F15A8.6	173658_at
WBGene00017478	F15A8.6	F15A8.6	188539_s_at
WBGene00017480	nstp-2	F15B10.1a	185645_s_at
WBGene00001090	drh-1	F15B10.2	173212_at
WBGene00001090	drh-1	F15B10.2	184356_s_at
WBGene00017481	F15B10.3	F15B10.3	186130_at
WBGene00001387	far-3	F15B9.1	193272_s_at
WBGene00045418	F15B9.10	F15B9.10a	173409_s_at
WBGene00045418	F15B9.10	F15B9.10a	179268_s_at
WBGene00001388	far-4	F15B9.2	193270_at
WBGene00001389	far-5	F15B9.3a	189680_at
WBGene00008848	inft-2	F15B9.4	175273_at
WBGene00008848	inft-2	F15B9.4	179320_at
WBGene00008850	F15B9.6	F15B9.6	189419_at
WBGene00001475	fmi-1	F15B9.7	190264_s_at
WBGene00008851	F15B9.8	F15B9.8	191688_at
WBGene00004773	sem-4	F15C11.1	175707_s_at
WBGene00004773	sem-4	F15C11.1	193521_s_at
WBGene00008852	ubql-1	F15C11.2a	173746_s_at
WBGene00008852	ubql-1	F15C11.2a	171866_x_at
WBGene00001131	dys-1	F15D3.1a	190428_s_at
WBGene00008853	clec-101	F15D3.2	194045_at
NA	NA	F15D3.3	172198_x_at
WBGene00008854	F15D3.4	F15D3.4	177596_s_at
WBGene00008855	F15D3.5	F15D3.5	177578_at
WBGene00008856	F15D3.6	F15D3.6	177528_at
WBGene00008857	timm-23	F15D3.7	177778_at
WBGene00008857	timm-23	F15D3.7	177779_s_at
WBGene00008858	F15D3.8	F15D3.8	177766_at
WBGene00000274	btf-1	F15D4.1	188338_at
WBGene00008859	F15D4.2	F15D4.2	179341_at
WBGene00008860	rmo-1	F15D4.3	179277_at
WBGene00008860	rmo-1	F15D4.3	179278_s_at
WBGene00008861	F15D4.4	F15D4.4	189471_at
WBGene00008862	F15D4.5	F15D4.5	179266_at
WBGene00008863	F15D4.6	F15D4.6	179641_at
NA	NA	F15D4.7	179655_at
WBGene00001459	flp-16	F15D4.8	175390_at
WBGene00017496	srbc-15 	F15E11.10	186619_at
WBGene00017498	pud-4	F15E11.12a	186519_at
WBGene00017500	pud-2.2	F15E11.14	186492_s_at
WBGene00017501	pud-3	F15E11.15a	175239_at
WBGene00017491	irld-28	F15E11.2	186523_s_at
WBGene00017492	irld-29	F15E11.3	184485_at
WBGene00017493	irld-30	F15E11.4	184316_at
WBGene00017494	irld-31 	F15E11.5	185339_at
WBGene00017482	set-9	F15E6.1	184300_s_at
WBGene00017483	lgc-22	F15E6.2a	181326_at
WBGene00017484	F15E6.3	F15E6.3	180424_at
WBGene00017484	F15E6.3	F15E6.3	180425_s_at
WBGene00017485	F15E6.4	F15E6.4	180398_s_at
WBGene00017486	F15E6.5	F15E6.5	181228_at
WBGene00017487	F15E6.6	F15E6.6	173862_s_at
WBGene00005715	srv-4	F15E6.7a	181292_at
WBGene00017488	dct-7	F15E6.8	181270_at
WBGene00017489	F15E6.9	F15E6.9a	181159_s_at
WBGene00008865	F15G9.1	F15G9.1a	171746_x_at
WBGene00008865	F15G9.1	F15G9.1a	187446_s_at
WBGene00008866	F15G9.2	F15G9.2	186557_at
WBGene00008867	F15G9.3	F15G9.3	186511_at
WBGene00001863	him-4	F15G9.4a	193863_s_at
WBGene00001863	him-4	F15G9.4a	174196_s_at
WBGene00008868	F15G9.5	F15G9.5	186538_s_at
WBGene00000601	col-12	F15H10.1	194205_x_at
WBGene00000602	col-13	F15H10.2	172878_x_at
WBGene00000602	col-13	F15H10.2	172879_x_at
WBGene00000144	apc-10	F15H10.3a	192203_s_at
WBGene00008872	F15H10.5	F15H10.5	183725_at
NA	NA	F15H10.6	184153_at
WBGene00008874	F15H10.7	F15H10.7	183092_at
WBGene00008875	F15H10.8	F15H10.8	183185_at
WBGene00008870	F15H9.1	F15H9.1	178687_at
WBGene00005527	sri-15	F15H9.2	178620_at
WBGene00005529	sri-17	F15H9.3	178738_at
WBGene00005528	sri-16	F15H9.4	178569_at
WBGene00008876	F16A11.1	F16A11.1a	174491_at
WBGene00008876	F16A11.1	F16A11.1a	192897_at
WBGene00008877	rtcb-1	F16A11.2	193605_at
WBGene00008878	ppfr-1	F16A11.3a	174717_at
WBGene00008878	ppfr-1	F16A11.3a	182868_at
WBGene00008878	ppfr-1	F16A11.3a	193440_s_at
WBGene00008878	ppfr-1	F16A11.3a	181985_s_at
WBGene00008879	F16B12.1	F16B12.1	173094_s_at
WBGene00008879	F16B12.1	F16B12.1	190042_at
WBGene00001106	dsl-4	F16B12.2	189809_at
WBGene00008880	F16B12.4	F16B12.4	184172_at
WBGene00008881	F16B12.5	F16B12.5	190826_at
WBGene00008882	F16B12.6	F16B12.6	183307_at
WBGene00008883	F16B12.7	F16B12.7	190824_at
WBGene00008884	nhr-281	F16B12.8	193742_at
WBGene00001171	egl-2	F16B3.1	191262_at
WBGene00017502	F16B3.2	F16B3.2	175201_at
WBGene00017503	nhr-177	F16B4.1	190004_at
WBGene00017511	srbc-41	F16B4.10	184211_at
WBGene00017512	nhr-179	F16B4.11a	190260_at
WBGene00003707	nhr-117	F16B4.12a	190287_at
WBGene00017504	F16B4.2	F16B4.2a	181539_at
WBGene00017505	F16B4.3 	F16B4.3	182996_at
WBGene00017506	F16B4.4	F16B4.4	183062_at
WBGene00017507	F16B4.5	F16B4.5a	190062_at
WBGene00017507	F16B4.5	F16B4.5a	187754_s_at
WBGene00017509	F16B4.7	F16B4.7	183018_at
WBGene00000387	cdc-25.2	F16B4.8	193325_at
WBGene00000387	cdc-25.2	F16B4.8	174914_at
WBGene00017510	nhr-178	F16B4.9	190872_at
WBGene00008885	F16C3.1	F16C3.1	188807_at
WBGene00008886	F16C3.2	F16C3.2	178041_at
WBGene00006531	tba-5	F16D3.1	188238_at
WBGene00004684	rsd-6	F16D3.2	177822_s_at
WBGene00008887	tbcd-1	F16D3.4	173585_at
WBGene00008887	tbcd-1	F16D3.4	177740_s_at
WBGene00008890	ser-5	F16D3.7	193828_at
WBGene00017513	F16F9.1	F16F9.1	181264_at
WBGene00001068	dpy-6	F16F9.2	173635_at
WBGene00001068	dpy-6	F16F9.2	181248_s_at
WBGene00017514	F16F9.3	F16F9.3a	181258_at
WBGene00017515	F16F9.4	F16F9.4	188201_at
WBGene00003174	mec-10	F16F9.5	185957_s_at
WBGene00017516	F16G10.1	F16G10.1	186470_at
WBGene00017516	F16G10.1	F16G10.1	188346_at
WBGene00017525	F16G10.10	F16G10.10	186844_at
WBGene00017526	F16G10.11	F16G10.11	186764_s_at
WBGene00017527	F16G10.13	F16G10.13	186606_at
WBGene00017528	F16G10.14	F16G10.14	186703_at
WBGene00017529	F16G10.15	F16G10.15	186699_at
WBGene00017517	F16G10.2	F16G10.2	184894_at
WBGene00017518	F16G10.3	F16G10.3	184842_at
WBGene00017519	hpo-25	F16G10.4	185874_at
WBGene00017520	F16G10.5	F16G10.5	184981_at
WBGene00017521	F16G10.6	F16G10.6	185824_at
WBGene00017522	F16G10.7	F16G10.7	184887_at
WBGene00017523	F16G10.8	F16G10.8	185832_at
WBGene00017524	F16G10.9	F16G10.9	184560_s_at
WBGene00017530	F16H11.1	F16H11.1	186158_at
WBGene00017532	ent-5	F16H11.3	184862_at
WBGene00000428	ceh-1	F16H11.4	176628_at
WBGene00003635	nhr-45	F16H11.5	174021_at
WBGene00003635	nhr-45	F16H11.5	193486_at
WBGene00008891	clec-42	F16H6.1	193797_at
WBGene00008900	F16H6.10	F16H6.10	176708_at
WBGene00008892	clec-246	F16H6.2	189992_at
NA	F16H6.12	F16H6.3	188036_at
WBGene00008893	F16H6.3	F16H6.3	178815_at
WBGene00008894	F16H6.4	F16H6.4	178838_at
WBGene00008895	F16H6.4 	F16H6.5a	179483_at
WBGene00008896	NA	F16H6.6	179495_at
WBGene00008897	F16H6.7	F16H6.7	179398_at
WBGene00008898	F16H6.8	F16H6.8	179178_s_at
WBGene00008899	F16H6.9	F16H6.9	179145_at
WBGene00004345	rgs-2	F16H9.1a	175634_at
WBGene00004345	rgs-2	F16H9.1a	172929_x_at
WBGene00004345	rgs-2	F16H9.1a	182781_s_at
WBGene00008901	nhr-27	F16H9.2a	194105_at
WBGene00006966	xtr-2	F17A2.1	191810_at
WBGene00005124	srd-46	F17A2.10	182302_at
WBGene00005125	srd-47	F17A2.11	182224_at
WBGene00005118	srd-40	F17A2.12	181808_at
WBGene00008904	F17A2.13	F17A2.13	182335_at
WBGene00008902	phf-32	F17A2.3	188658_at
WBGene00008903	F17A2.4	F17A2.4	178546_at
WBGene00000461	ceh-40	F17A2.5	192022_at
WBGene00005119	srd-41	F17A2.6	178511_at
WBGene00005123	srd-45	F17A2.7	178937_at
WBGene00005122	srd-44	F17A2.8	179312_at
WBGene00005126	srd-48	F17A2.9	179362_at
NA	NA	F17A9.1	179752_at
WBGene00017534	F17A9.2	F17A9.2	179813_at
WBGene00017535	atf-8	F17A9.3	191134_at
WBGene00017536	F17A9.4	F17A9.4	179711_s_at
WBGene00017537	F17A9.5	F17A9.5	180728_at
WBGene00017538	ceh-49	F17A9.6	189546_s_at
WBGene00138716	F17B5.10	F17B5.10	190033_at
WBGene00008905	F17B5.1	F17B5.1a	177612_s_at
WBGene00008907	clec-109	F17B5.3a	177554_at
WBGene00008909	clec-110	F17B5.5	177506_at
WBGene00044058	F17B5.6	F17B5.6	178001_at
WBGene00077761 	 zip-9	F17C11.1	190763_at
WBGene00008921	F17C11.10	F17C11.10	188876_s_at
WBGene00008922	F17C11.11	F17C11.11a	175504_at
WBGene00008923	F17C11.12	F17C11.12a	175142_at
WBGene00008914	F17C11.2	F17C11.2	181257_at
WBGene00000726	col-153	F17C11.3	188375_at
WBGene00008915	F17C11.4	F17C11.4a	180312_at
WBGene00008916	clec-221	F17C11.5	180409_at
WBGene00008917	F17C11.6	F17C11.6	181393_at
WBGene00008918	F17C11.7	F17C11.7a	181481_at
WBGene00008919	vps-36	F17C11.8	180560_s_at
WBGene00008920	eef-1G	F17C11.9a	173408_s_at
WBGene00008920	eef-1G	F17C11.9a	191798_s_at
WBGene00000068	acy-1	F17C8.1	191633_s_at
WBGene00000664	col-89	F17C8.2	189600_at
WBGene00004311	ras-2	F17C8.4	191483_at
WBGene00006661	twk-6	F17C8.5	187930_at
WBGene00008911	F17C8.6	F17C8.6	173570_s_at
WBGene00002991	lin-2	F17E5.1a	174032_s_at
WBGene00002991	lin-2	F17E5.1a	194033_s_at
WBGene00008924	F17E5.2	F17E5.2	175368_at
WBGene00008924	F17E5.2	F17E5.2	191072_at
WBGene00000690	col-116	F17E9.1	183685_at
WBGene00001906	his-32	F17E9.10	172881_x_at
WBGene00003099	lys-10	F17E9.11	184694_at
WBGene00001905	his-31	F17E9.12	172661_x_at
WBGene00017539	F17E9.2	F17E9.2	183973_at
WBGene00017540	F17E9.3	F17E9.3	183664_at
WBGene00017541	F17E9.4	F17E9.4	183721_at
WBGene00017542	F17E9.5	F17E9.5	184095_at
WBGene00017543	lgc-5	F17E9.7	183321_at
WBGene00017544	lgc-6	F17E9.8	183606_at
WBGene00008925	F17H10.1	F17H10.1	181797_at
WBGene00008926	F17H10.2	F17H10.2a	183064_at
WBGene00008927	snx-17	F17H10.3a	193945_at
WBGene00008928	F17H10.4	F17H10.4	181825_at
WBGene00017545	F18A1.1	F18A1.1	183903_at
WBGene00003012	lin-26	F18A1.2a	174037_at
WBGene00003012	lin-26	F18A1.2a	190309_at
WBGene00003044	lir-1	F18A1.3a	176605_s_at
WBGene00003045	lir-2	F18A1.4a	193382_at
WBGene00017546	rpa-1	F18A1.5	171899_x_at
WBGene00017546	rpa-1	F18A1.5	190813_at
WBGene00017547	alfa-1	F18A1.6a	171777_x_at
WBGene00017547	alfa-1	F18A1.6a	187819_s_at
WBGene00017548	F18A1.7	F18A1.7	175074_s_at
WBGene00017548	F18A1.7	F18A1.7	181523_s_at
WBGene00017548	F18A1.7	F18A1.7	174517_at
WBGene00017549	pid-1	F18A1.8	181417_at
WBGene00004242	puf-6	F18A11.1	194080_s_at
WBGene00004242	puf-6	F18A11.1	175573_s_at
WBGene00008929	F18A11.2	F18A11.2	191829_at
WBGene00008930	F18A11.3	F18A11.3	194155_s_at
NA	NA	F18A11.4	188193_at
WBGene00008932	F18A11.5	F18A11.5a	181530_at
WBGene00008932	F18A11.5	F18A11.5a	181531_s_at
WBGene00017550	nep-6	F18A12.1	188722_at
WBGene00017551	F18A12.2	F18A12.2	185160_at
WBGene00017552	nep-7	F18A12.3	188701_at
WBGene00017553	nep-8	F18A12.4	188656_at
WBGene00017554	nep-9	F18A12.5	188707_s_at
WBGene00017555	nep-10	F18A12.6	188736_s_at
WBGene00017556	F18A12.7	F18A12.7	185118_at
WBGene00017557	nep-11	F18A12.8a	173649_at
WBGene00017557	nep-11	F18A12.8a	188704_s_at
WBGene00000485	che-3	F18C12.1	189823_s_at
WBGene00004378	rme-8	F18C12.2a	174721_at
WBGene00004378	rme-8	F18C12.2a	189789_s_at
WBGene00008934	F18C12.3	F18C12.3	181582_at
WBGene00005053	sra-27	F18C5.1	181244_at
WBGene00017563	F18C5.10	F18C5.10	174769_at
WBGene00017563	F18C5.10	F18C5.10	180537_s_at
WBGene00006944	wrn-1	F18C5.2	188101_at
WBGene00007050	utp-20	F18C5.3	180778_at
WBGene00017560	F18C5.5	F18C5.5	180882_s_at
WBGene00005054	sra-28	F18C5.6	181596_at
WBGene00005055	sra-29	F18C5.8	181177_at
WBGene00008936	papl-1	F18E2.1a	189888_s_at
WBGene00006512	abcf-1	F18E2.2	189009_s_at
WBGene00004738	scc-3	F18E2.3	178399_s_at
WBGene00008937	srt-43	F18E2.4	179317_at
WBGene00001675	gpa-13	F18E2.5a	193504_at
WBGene00017564	srxa-4	F18E3.1	180709_at
WBGene00017566	F18E3.10	F18E3.10	176760_at
WBGene00017567	F18E3.11	F18E3.11	175489_at
WBGene00005814	srw-67	F18E3.2	181411_at
WBGene00005814	srw-67	F18E3.2	176688_at
NA	NA	F18E3.3	187738_at
WBGene00005815	srw-68	F18E3.4a	181107_at
WBGene00005816	srw-69	F18E3.5	181479_at
WBGene00005818	srw-71	F18E3.6	181163_at
WBGene00017565	ddo-2	F18E3.7a	190646_s_at
NA	NA	F18E3.9	176695_at
WBGene00017568	F18E9.1	F18E9.1	182207_at
WBGene00003745	nlp-7	F18E9.2a	182967_at
WBGene00017569	F18E9.3	F18E9.3	182283_at
WBGene00017570	F18E9.4	F18E9.4	182502_at
WBGene00017571	jmjd-3.1	F18E9.5a	187751_s_at
NA	NA	F18E9.6	172454_x_at
WBGene00017573	F18E9.7	F18E9.7a	174488_at
WBGene00017573	F18E9.7	F18E9.7a	182288_at
WBGene00017573	F18E9.7	F18E9.7a	182289_s_at
WBGene00017574	F18F11.1	F18F11.1	186304_at
NA	NA	F18F11.2	186191_at
WBGene00017576	cdh-8	F18F11.3a	186416_at
WBGene00017576	cdh-8	F18F11.3a	184607_at
WBGene00017577	F18F11.4	F18F11.4	192252_at
WBGene00017579	F18G5.1	F18G5.1	182719_at
WBGene00003981	pes-8	F18G5.2	182320_at
WBGene00001674	gpa-12	F18G5.3	193594_at
WBGene00017580	lgc-4	F18G5.4	193769_s_at
WBGene00017581	F18G5.5	F18G5.5	182040_at
WBGene00017582	F18G5.6	F18G5.6	182444_at
WBGene00008939	F18H3.1	F18H3.1	177823_at
WBGene00003903	pab-2	F18H3.3a	173881_at
WBGene00003903	pab-2	F18H3.3a	173882_s_at
WBGene00003903	pab-2	F18H3.3a	193993_s_at
WBGene00003903	pab-2	F18H3.3a	174888_at
WBGene00008940	F18H3.4	F18H3.4	175330_at
WBGene00008940	F18H3.4	F18H3.4	177511_at
WBGene00000406	cdk-4	F18H3.5a	193858_s_at
WBGene00000406	cdk-4	F18H3.5a	173429_at
WBGene00017583	F19B10.1	F19B10.1	185515_at
WBGene00017583	F19B10.1	F19B10.1	185516_s_at
WBGene00017583	F19B10.1	F19B10.1	174222_at
WBGene00017589	F19B10.10	F19B10.10	186728_s_at
WBGene00017590	F19B10.11	F19B10.11	186722_at
WBGene00194713	F19B10.13	F19B10.13	185171_at
WBGene00017584	F19B10.2	F19B10.2	185457_at
WBGene00017584	F19B10.2	F19B10.2	185458_s_at
WBGene00017585	F19B10.3	F19B10.3	172501_at
WBGene00017587	F19B10.5	F19B10.5	185545_at
WBGene00017588	F19B10.6	F19B10.6	185213_at
WBGene00005988	srx-97	F19B10.7	185365_at
WBGene00005989	srx-98	F19B10.8	185443_at
WBGene00004750	sea-1	F19B10.9	185577_s_at
NA	NA	F19B2.1	178260_at
NA	NA	F19B2.2	178088_at
WBGene00005786	srw-39	F19B2.3	177925_at
WBGene00005786	srw-39	F19B2.3	177926_s_at
NA	NA	F19B2.4	177928_at
WBGene00008944	F19B2.5	F19B2.5	177833_s_at
WBGene00008945	F19B2.6	F19B2.6	178024_at
WBGene00008946	F19B2.7	F19B2.7	186831_s_at
WBGene00008946	F19B2.7	F19B2.7	177545_at
NA	NA	F19B2.8	178237_at
WBGene00008948	F19B6.1	F19B6.1a	175066_at
WBGene00008948	F19B6.1	F19B6.1a	174010_at
WBGene00008948	F19B6.1	F19B6.1a	189152_s_at
WBGene00006733	ufd-1	F19B6.2a	187426_s_at
WBGene00008949	F19B6.3	F19B6.3	179377_at
WBGene00008950	wht-5	F19B6.4	189634_at
WBGene00001708	grk-1	F19C6.1	192727_at
WBGene00001708	grk-1	F19C6.1	175197_at
WBGene00008951	F19C6.2	F19C6.2a	187139_s_at
WBGene00008951	F19C6.2	F19C6.2a	174927_at
WBGene00008952	F19C6.3	F19C6.3	189239_at
WBGene00008953	F19C6.4	F19C6.4a	179222_at
WBGene00008954	F19C6.5	F19C6.5	186597_at
WBGene00017591	F19C7.1	F19C7.1	172974_s_at
WBGene00017591	F19C7.1	F19C7.1	179730_at
WBGene00017592	F19C7.2	F19C7.2	191515_at
WBGene00017593	F19C7.3	F19C7.3	179736_at
WBGene00017594	F19C7.4	F19C7.4	191490_at
WBGene00017595	F19C7.5	F19C7.5	182004_at
WBGene00017596	F19C7.6	F19C7.6	179734_at
WBGene00000684	col-110	F19C7.7	189864_s_at
WBGene00017597	F19C7.8	F19C7.8a	174460_at
WBGene00017597	F19C7.8	F19C7.8a	180292_at
WBGene00017597	F19C7.8	F19C7.8a	178883_at
WBGene00006676	twk-23	F19D8.1a	192642_at
WBGene00008955	F19D8.2	F19D8.2	177433_at
WBGene00017598	F19F10.1	F19F10.1	190163_at
WBGene00017606	ets-6	F19F10.10	186930_s_at
WBGene00017607	F19F10.11	F19F10.11a	187477_s_at
WBGene00017607	F19F10.11	F19F10.11a	187406_s_at
WBGene00017599	F19F10.3	F19F10.3	185046_at
WBGene00017600	ttr-10	F19F10.4	185227_at
WBGene00017601	ets-7	F19F10.5	190230_at
WBGene00017602	clec-211 	F19F10.6	185225_at
WBGene00017603	clec-212	F19F10.7	184723_at
WBGene00017604	F19F10.8	F19F10.8	184729_at
WBGene00017605	F19F10.9	F19F10.9	185007_s_at
WBGene00017609	F19G12.1	F19G12.1	186040_s_at
WBGene00017610	F19G12.2	F19G12.2	184742_at
WBGene00017610	F19G12.2	F19G12.2	183842_s_at
WBGene00017611	F19G12.3	F19G12.3	184929_at
WBGene00017612	F19G12.4	F19G12.4	185113_at
WBGene00017612	F19G12.4	F19G12.4	188284_at
WBGene00005244	srh-19	F19G12.5	191390_at
WBGene00000025	abu-2	F19G12.7	184782_at
WBGene00008956	nekl-3	F19H6.1	190573_at
WBGene00008957	glb-13	F19H6.2	188663_at
WBGene00008958	F19H6.3	F19H6.3	178488_at
WBGene00008959	F19H6.4	F19H6.4	192795_at
WBGene00008960	F19H6.5	F19H6.5	173575_s_at
WBGene00008961	F19H6.6	F19H6.6	179103_at
WBGene00006603	tps-2	F19H8.1a	191539_at
WBGene00008963	F19H8.2	F19H8.2	178930_at
WBGene00000188	arl-3	F19H8.3	194037_at
WBGene00008964	mltn-9	F19H8.4	174547_at
WBGene00008964	mltn-9	F19H8.4	178757_at
WBGene00017613	F20A1.1	F20A1.1	172426_x_at
WBGene00017621	F20A1.10	F20A1.10	186043_at
WBGene00017614	F20A1.2	F20A1.2	183716_at
WBGene00017615	srsx-32	F20A1.3	182937_at
WBGene00017616	F20A1.4	F20A1.4	182823_at
WBGene00017616	F20A1.4	F20A1.4	183768_at
WBGene00017618	F20A1.6	F20A1.6a	174204_at
WBGene00017618	F20A1.6	F20A1.6a	181821_at
WBGene00006666	twk-11	F20A1.7a	181572_s_at
WBGene00017619	F20A1.8	F20A1.8	182901_at
WBGene00017620	tofu-2	F20A1.9	183123_s_at
WBGene00003772	nlr-1	F20B10.1	174611_s_at
WBGene00003772	nlr-1	F20B10.1	189625_s_at
WBGene00003772	nlr-1	F20B10.1	189417_s_at
